Id,Age,Genre,Education,Pays,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
14,55-64,Female,Certificat ou diplome professionel,Canada,Blanc,28,0.80523,-0.01928,0.94156,3.46436,16.29% ,8.97% ,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15,55-64,Female,Certificat ou diplome professionel,UK,Blanc,27,1.45421,0.44585,-0.60633,1.63088,7.85% ,11.19% ,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,
16,55-64,Male,Université,UK,Blanc,19,29,35,-1.07533,1.13407,16.29% ,11.19% ,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0,
17,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,22,-0.80615,34,0.28783,0.75830,18.83% ,3.77% ,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0,
18,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,0.52135,-1.23177,-0.31776,-0.45321,31,14.64% ,8.97% ,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0,
19,55-64,Male,Université,Australie,Blanc,1.37297,-0.15487,-0.17779,30,30,16.29% ,11.83% ,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0,
20,35-44,Male,Certificat ou diplome professionel,UK,Blanc,-0.34799,27,29,30,0.75830,14.64% ,3.77% ,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0,
21,45-54,Male,Certificat ou diplome professionel,UK,Blanc,28,0.80523,0.72330,1.61108,-1.13788,13.63% ,11.83% ,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0,
22,65+,Male,À quitté l'école avant 16 ans,UK,Blanc,25,0.47617,-1.11902,-0.60633,1.81175,18.83% ,7.00% ,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0,
23,45-54,Male,Université,UK,Blanc,0.41667,-0.94779,-0.84732,1.11406,-0.89891,16.29% ,11.62% ,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
24,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,1.60383,16,37,0.28783,-1.01450,14.64% ,4.62% ,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1,
25,55-64,Male,Université,UK,Blanc,-0.14882,0.63779,1.24033,0.76096,1.46191,18.83% ,11.19% ,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0,
26,45-54,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,28,-0.43999,37,0.94156,-0.00665,18.83% ,13.21% ,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0,
27,55-64,Female,À quitté l'école à 18 ans,Canada,Blanc,-0.05188,28,24,-0.76096,0.58489,13.63% ,4.62% ,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,
28,35-44,Male,Université,UK,Blanc,0.52135,-1.23177,-0.01928,-0.01729,25,5.52% ,13.21% ,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0,
29,35-44,Female,Matrise,UK,Blanc,0.04257,29,-0.71727,0.28783,1.30612,13.63% ,11.19% ,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,
30,45-54,Male,Doctorat,UK,Blanc,24,1.74091,0.88309,0.94156,1.81175,18.83% ,11.19% ,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
31,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,0.31287,-0.80615,37,33,-0.65253,14.64% ,11.62% ,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0,
32,35-44,Female,À quitté l'école à 16 ans,Autre,Blanc,25,-0.80615,0.14143,-0.60633,-0.00665,14.64% ,8.97% ,3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,
33,35-44,Male,Université,UK,Blanc,28,-1.23177,-0.01928,0.43852,-0.00665,13.63% ,8.97% ,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,0,
34,18-24,Male,Université,UK,Blanc,0.41667,-0.30033,0.29338,1.28610,-0.14277,16.29% ,4.62% ,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
35,35-44,Male,Université,USA,Autre ,1.02119,0.63779,0.88309,23,-0.78155,11.46% ,5.46% ,4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,0,1,
36,65+,Male,À quitté l'école avant 16 ans,UK,Blanc,-0.24649,-0.80615,28,-0.30172,-0.78155,11.46% ,4.62% ,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,
37,35-44,Male,Université,UK,Blanc,-0.24649,-0.57545,-0.17779,-0.01729,30,18.83% ,11.83% ,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
38,55-64,Male,À quitté l'école avant 16 ans,USA,Blanc,0.31287,0.32197,1.06238,0.13136,-0.65253,11.46% ,11.19% ,6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,0,
39,45-54,Male,Université,UK,Blanc,22,1.28610,0.29338,-0.01729,0.75830,18.83% ,8.97% ,6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0,
40,65+,Female,Certificat ou diplome professionel,UK,Blanc,-0.24649,-0.94779,-1.11902,-0.76096,0.41594,14.64% ,11.83% ,6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,0,
41,35-44,Male,Matrise,UK,Blanc,0.04257,-0.43999,-0.01928,29,0.75830,16.29% ,11.62% ,5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
42,35-44,Female,Université,UK,Blanc,0.82562,0.00332,1.06238,1.81866,-0.40581,18.83% ,11.83% ,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
43,35-44,Male,Matrise,UK,Blanc,-0.14882,-0.94779,37,-0.01729,-0.65253,18.83% ,11.19% ,6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,0,
44,35-44,Male,Certificat ou diplome professionel,UK,Blanc,27,-0.57545,-0.31776,-0.15487,-1.01450,18.83% ,11.83% ,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,0,
45,25-34,Male,Université,UK,Autre ,26,1.45421,0.44585,1.28610,0.93949,18.83% ,11.62% ,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,
46,25-34,Female,Université,UK,Blanc,-0.46725,0.47617,1.24033,0.94156,1.63088,14.64% ,3.77% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
47,45-54,Female,Collège ou université aucun certificat ou diplome,Canada,Blanc,0.31287,0.63779,-1.11902,0.28783,1.46191,16.29% ,8.97% ,3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,0,1,
48,45-54,Male,Matrise,UK,Blanc,19,0.80523,0.29338,0.94156,1.13407,1.06% ,7.00% ,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,
49,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,0.13606,-0.80615,-0.31776,-0.15487,-0.65253,13.63% ,8.97% ,6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,0,
50,25-34,Female,Matrise,UK,Mixed-Blanc/Noir,0.82562,-0.57545,32,-0.91699,0.25953,11.46% ,11.14% ,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,
51,35-44,Male,Matrise,UK,Blanc,1.02119,-0.15487,-0.17779,-1.21213,-0.00665,16.29% ,8.97% ,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,0,
52,45-54,Male,Certificat ou diplome professionel,Canada,Blanc,1.13281,0.96248,-0.58331,-0.91699,27,5.52% ,5.46% ,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0,
53,55-64,Female,Université,UK,Blanc,-0.14882,0.00332,36,0.28783,-0.78155,11.46% ,4.62% ,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,
54,45-54,Male,Matrise,UK,Blanc,23,-0.15487,1.06238,0.28783,0.25953,18.83% ,11.83% ,5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,0,
55,55-64,Male,À quitté l'école à 16 ans,UK,Blanc,0.04257,1.11406,-0.58331,-1.07533,-1.13788,7.85% ,11.14% ,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,0,
56,55-64,Female,Certificat ou diplome professionel,UK,Blanc,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,14.64% ,3.77% ,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
57,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,0.04257,0.00332,34,-0.01729,0.25953,14.64% ,4.62% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
58,25-34,Female,Université,UK,Blanc,-0.58016,0.63779,32,0.28783,0.75830,16.29% ,11.19% ,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
59,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,0.22393,0.63779,-0.01928,-0.45321,-0.40581,5.52% ,11.14% ,5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,0,1,
60,45-54,Male,Université,UK,Blanc,-0.46725,-1.23177,37,32,-0.14277,14.64% ,4.62% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
61,25-34,Female,Doctorat,UK,Blanc,1.37297,0.32197,0.29338,-0.30172,-0.27607,14.64% ,11.62% ,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
62,45-54,Male,Matrise,UK,Asiatique ,18,1.58487,1.24033,0.13136,1.30612,14.64% ,7.00% ,5,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,0,0,1,
63,25-34,Male,Université,UK,Blanc,-0.58016,30,33,-1.34289,0.41594,14.64% ,7.00% ,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,
64,45-54,Male,Université,UK,Blanc,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,14.64% ,7.00% ,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
65,45-54,Male,Doctorat,UK,Blanc,22,0.47617,1.06238,-0.45321,0.93949,14.64% ,11.19% ,6,1,0,1,6,6,5,4,0,0,0,0,0,1,0,1,1,0,0,
66,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,0.73545,0.47617,-0.84732,1.11406,0.58489,11.46% ,11.83% ,5,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
67,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,26,-0.69509,-1.11902,1.28610,0.41594,16.29% ,7.00% ,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
68,25-34,Male,Matrise,UK,Blanc,-0.34799,-0.30033,1.06238,-0.91699,-0.14277,10.34% ,11.83% ,5,1,1,0,6,2,5,1,0,0,0,0,0,1,0,1,5,0,0,
69,35-44,Male,Certificat ou diplome professionel,Autre,Blanc,27,0.00332,0.29338,-0.15487,-0.27607,18.83% ,11.62% ,5,1,1,0,5,2,6,3,0,2,0,1,1,1,0,1,1,0,0,
70,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,-0.05188,-0.69509,34,0.28783,-0.00665,14.64% ,8.97% ,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
71,25-34,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,-0.34799,-0.30033,0.14143,30,-0.27607,11.46% ,11.19% ,6,2,1,0,4,2,6,3,0,3,0,2,2,2,0,0,2,0,1,
72,45-54,Female,À quitté l'école à 18 ans,Canada,Blanc,-0.46725,1.11406,-0.31776,1.11406,0.12331,1.06% ,8.97% ,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,
73,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,22,0.96248,-0.01928,0.43852,0.93949,13.63% ,13.21% ,6,1,1,0,6,1,5,0,0,0,0,0,0,0,0,0,2,0,0,
74,45-54,Male,Certificat ou diplome professionel,UK,Blanc,-0.67825,-0.57545,-0.31776,0.28783,1.13407,16.29% ,11.83% ,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
75,65+,Female,À quitté l'école à 16 ans,UK,Blanc,25,27,26,33,0.25953,11.46% ,3.77% ,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
76,25-34,Male,Université,UK,Blanc,-0.14882,0.16767,35,-0.76096,-0.40581,11.46% ,11.83% ,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,
77,45-54,Female,À quitté l'école à 17 ans,Canada,Blanc,-0.34799,-0.69509,35,0.43852,0.58489,1.06% ,3.77% ,4,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,
78,35-44,Male,Université,UK,Blanc,0.13606,28,-0.58331,-1.21213,-0.40581,18.83% ,3.77% ,3,1,0,0,6,2,5,1,0,1,0,0,0,1,0,0,6,0,0,
79,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,28,-0.80615,31,32,25,1.06% ,7.00% ,6,0,1,0,6,1,5,1,0,1,0,0,0,0,0,0,3,0,1,
80,35-44,Male,Certificat ou diplome professionel,UK,Blanc,-0.34799,-0.80615,32,1.11406,-0.65253,18.83% ,11.83% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,
81,65+,Female,Doctorat,Canada,Blanc,0.04257,0.32197,0.44585,-0.15487,1.46191,18.83% ,11.83% ,6,0,0,3,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,
82,55-64,Female,Université,UK,Blanc,28,-1.23177,-0.01928,-0.91699,-0.14277,10.34% ,13.21% ,5,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0,0,
83,55-64,Male,Matrise,Canada,Blanc,19,1.45421,-0.97631,0.59042,1.46191,18.83% ,7.00% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
84,55-64,Female,À quitté l'école à 17 ans,UK,Mixed-Blanc/Noir,1.02119,-0.94779,-1.11902,1.45039,29,13.63% ,11.83% ,3,0,0,5,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,
85,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,14.64% ,11.62% ,5,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,
86,25-34,Female,À quitté l'école à 18 ans,UK,Blanc,-0.46725,0.00332,35,0.13136,0.41594,11.46% ,11.14% ,3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,
87,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,0.73545,-0.15487,-1.11902,0.13136,-0.14277,18.83% ,13.21% ,5,0,1,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,
88,55-64,Male,À quitté l'école à 16 ans,UK,Blanc,27,0.16767,-0.45174,-0.30172,0.25953,16.29% ,13.21% ,5,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,
89,35-44,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,0.31287,26,36,-0.76096,-0.52745,14.64% ,3.77% ,3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0,0,
90,35-44,Female,Matrise,UK,Blanc,0.91093,-0.57545,0.29338,-0.60633,-0.27607,11.46% ,11.83% ,5,1,1,2,6,0,5,0,0,0,0,0,0,1,0,1,0,0,1,
91,35-44,Female,Matrise,UK,Blanc,1.37297,0.32197,0.72330,0.28783,-0.78155,14.64% ,11.62% ,6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,4,0,0,
92,35-44,Male,Certificat ou diplome professionel,Canada,Blanc,0.41667,-0.43999,0.72330,0.28783,0.75830,10.34% ,11.19% ,2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0,0,
93,25-34,Male,À quitté l'école à 18 ans,UK,Blanc,22,-0.30033,-0.45174,0.28783,-0.00665,16.29% ,8.97% ,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0,0,
94,65+,Female,À quitté l'école à 16 ans,UK,Blanc,-0.14882,-0.80615,-0.97631,0.76096,0.41594,14.64% ,4.62% ,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
95,45-54,Male,Matrise,UK,Blanc,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,14.64% ,3.77% ,5,0,0,3,6,2,5,0,0,0,0,0,0,0,0,0,3,0,0,
96,45-54,Male,Matrise,UK,Blanc,-0.46725,0.32197,1.06238,32,1.13407,11.46% ,11.83% ,6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0,0,
97,35-44,Female,Université,Canada,Blanc,0.13606,-1.09207,0.29338,-0.15487,0.75830,14.64% ,4.62% ,4,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0,0,
98,45-54,Female,Matrise,UK,Blanc,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,13.63% ,8.97% ,5,1,0,1,6,1,5,1,0,0,0,0,0,0,0,0,2,0,0,
99,35-44,Male,Doctorat,Canada,Blanc,25,-0.43999,-0.01928,-0.60633,0.93949,18.83% ,11.14% ,4,1,0,0,6,1,4,1,0,0,0,0,0,1,0,1,2,0,0,
100,25-34,Female,Université,UK,Blanc,-0.67825,3.00537,0.72330,0.94156,1.63088,11.46% ,13.21% ,6,2,0,3,6,3,5,0,0,1,0,0,0,0,0,0,5,0,0,
101,25-34,Male,Matrise,Autre,Blanc,26,2.57309,0.58331,33,-0.40581,18.83% ,11.14% ,6,3,3,4,6,6,5,3,0,3,0,3,2,2,0,3,0,0,0,
102,45-54,Female,À quitté l'école à 16 ans,Australie,Blanc,-0.58016,0.47617,34,-0.15487,0.93949,14.64% ,8.97% ,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,
103,45-54,Male,À quitté l'école à 18 ans,UK,Blanc,-0.58016,1.28610,1.43533,-1.34289,-0.00665,16.29% ,11.14% ,6,1,3,4,6,1,4,4,1,2,2,1,1,2,0,2,1,0,0,
104,45-54,Female,Certificat ou diplome professionel,Canada,Blanc,0.04257,0.63779,-0.31776,-0.30172,0.12331,13.63% ,11.19% ,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
105,25-34,Female,Collège ou université aucun certificat ou diplome,Canada,Blanc,27,0.16767,-0.17779,1.11406,0.58489,16.29% ,11.62% ,5,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0,0,
106,35-44,Male,Certificat ou diplome professionel,UK,Blanc,18,0.47617,33,-0.76096,2.04506,14.64% ,4.62% ,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
107,25-34,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,1.02119,-0.30033,33,0.28783,-0.40581,14.64% ,8.97% ,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
108,35-44,Female,À quitté l'école à 16 ans,UK,Blanc,0.13606,0.00332,37,-0.76096,0.58489,11.46% ,11.83% ,5,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0,0,
109,25-34,Female,Université,UK,Blanc,-0.46725,2.12700,0.14143,0.13136,0.75830,5.52% ,11.14% ,5,0,0,3,6,3,6,4,0,0,0,0,0,0,0,0,1,0,0,
110,45-54,Female,Collège ou université aucun certificat ou diplome,UK,Blanc,28,0.47617,36,-0.91699,-0.52745,16.29% ,11.62% ,5,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0,0,
111,45-54,Male,Matrise,UK,Asiatique ,-0.14882,0.32197,0.14143,-0.30172,-0.14277,13.63% ,11.19% ,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
112,25-34,Male,Matrise,UK,Blanc,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,13.63% ,13.21% ,6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0,
113,25-34,Female,Université,UK,Blanc,25,0.32197,0.88309,-1.21213,-0.78155,18.83% ,11.83% ,3,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,6,0,0,
114,45-54,Female,Certificat ou diplome professionel,UK,Blanc,0.04257,0.63779,0.29338,0.13136,0.75830,13.63% ,11.83% ,4,0,0,1,6,2,4,0,0,0,0,0,0,0,0,0,6,0,0,
115,35-44,Male,Collège ou université aucun certificat ou diplome,UK,Blanc,17,1.93886,1.43533,-0.76096,31,5.52% ,11.14% ,4,1,1,2,6,6,4,1,0,2,2,2,0,2,0,2,6,0,0,
116,25-34,Female,Certificat ou diplome professionel,Canada,Blanc,0.22393,-0.57545,-0.84732,0.28783,1.13407,14.64% ,3.77% ,5,1,2,0,6,2,5,2,0,2,0,0,0,1,0,2,6,0,0,
117,35-44,Male,Certificat ou diplome professionel,Canada,Blanc,0.62967,-0.57545,0.14143,31,-0.40581,11.46% ,11.83% ,4,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,6,0,0,
118,25-34,Female,Université,UK,Blanc,1.60383,0.80523,1.43533,0.13136,-1.13788,11.46% ,13.21% ,5,1,1,3,6,1,5,3,0,3,2,2,2,2,0,3,4,0,0,
119,35-44,Female,Collège ou université aucun certificat ou diplome,USA,Blanc,1.83990,26,29,1.11406,0.25953,18.83% ,4.62% ,5,0,0,6,6,1,6,0,0,0,0,0,0,1,1,0,6,0,0,
120,35-44,Female,Université,UK,Blanc,-0.34799,0.63779,-0.97631,0.28783,1.46191,18.83% ,8.97% ,5,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,2,0,0,
121,25-34,Female,Matrise,UK,Blanc,26,0.63779,-0.97631,-1.07533,0.75830,13.63% ,5.46% ,6,1,0,0,6,1,6,0,0,0,0,0,0,1,0,1,2,0,0,
122,35-44,Female,Certificat ou diplome professionel,UK,Blanc,1.49158,-1.23177,35,29,-0.78155,11.46% ,11.62% ,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,
123,55-64,Male,Matrise,UK,Blanc,0.22393,0.16767,-0.17779,-0.30172,-0.89891,18.83% ,11.19% ,6,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,1,0,0,
124,25-34,Female,Université,UK,Blanc,0.22393,-0.69509,-0.45174,-0.01729,0.12331,7.85% ,11.62% ,5,1,0,0,6,3,5,2,0,0,0,0,0,0,0,0,3,0,1,
125,45-54,Male,À quitté l'école à 16 ans,UK,Blanc,-0.34799,1.93886,0.29338,0.43852,0.58489,18.83% ,11.83% ,3,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
126,55-64,Male,Université,UK,Blanc,-0.46725,1.28610,0.44585,0.13136,1.13407,11.46% ,13.21% ,6,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,2,0,0,
127,45-54,Male,Université,UK,Blanc,25,0.63779,-1.11902,-0.45321,-0.00665,18.83% ,8.97% ,5,1,1,0,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,
128,45-54,Female,À quitté l'école à 17 ans,UK,Blanc,-0.34799,-0.80615,-0.84732,0.28783,0.93949,14.64% ,3.77% ,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
129,35-44,Male,Doctorat,UK,Asiatique ,0.04257,0.63779,0.14143,0.13136,0.25953,18.83% ,7.00% ,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,
130,45-54,Female,Matrise,UK,Blanc,28,0.96248,-1.11902,0.94156,0.41594,13.63% ,13.21% ,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
131,45-54,Female,À quitté l'école à 16 ans,UK,Blanc,0.91093,0.32197,36,0.43852,2.33337,16.29% ,7.00% ,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
132,45-54,Female,À quitté l'école à 16 ans,UK,Autre ,22,-0.15487,37,2.46262,0.58489,14.64% ,3.77% ,4,0,0,2,6,0,5,0,0,0,0,0,0,0,0,0,6,0,0,
